#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;
EVTNAME_RIRSEI_404040;The Kingdom of Brittany is Restored!;Restauration du royaume de Bretagne;;;;;;;;x;;;;;;;;;;;;
EVTDESC_RIRSEI_404040;After centuries of French domination, a king has arisen to restore the Kingdom of Brittany to its former glory. No longer will Brittany kneel to a French king, for she is by right and by the ancient traditions independent and free;Après tant de de siècles sous la suzeraineté des rois et empereurs des francs, la Bretagne recouvre enfin un roi, qui ne sera pas inféodé aux francs, mais libre et indépendant, comme les anciens monarques;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_RIRSEI_404040;Long live Brittany!;Vive le nouveau royaume de Bretagne !;;;;;;;;x;;;;;;;;;;;;
EVTTOOLTIPRIRSEI.404040;The Kingdom of Brittany is restored;Le royaume de Bretagne est restauré;;;;;;;;x;;;;;;;;;;;;
royaume_bretagne;Restore the Kingdom of Brittany;Restaurer le royaume de Bretagne;;;;;;;;x;;;;;;;;;;;;
royaume_bretagne_desc;It is time to take back what is rightfully ours.;Il est temps de reprendre notre indépendance;;;;;;;;x;;;;;;;;;;;;
royaume_aquitaine;Restore the Kingdom of Aquitaine;Restaurer le royaume d'Aquitaine;;;;;;;;;;;;x;;;;;;;;
royaume_aquitaine_desc;It is time to take back what is rightfully ours.;Il est temps de reprendre notre indépendance;;;;;;;;;;;;x;;;;;;;;
EVTNAME_RIRSEI_414141;The Kingdom of Aquitaine is Restored!;Restauration du royaume d'Aquitaine;;;;;;;;;;;;x;;;;;;;;
EVTDESC_RIRSEI_414141;The day has finally come when the crown of Louis the Pious, son of Carolus Magnus, is finally upon the brow of a true king of Aquitaine. Our rightful territories and authority to rule have once again been restored to us.;Il est enfin temps pour nous de reprendre la couronne de Louis d'Aquitaine, fils de l'Empereur Charlemagne, car nous possédons les mêmes territoires mais aussi la même puissance;;;;;;;;;;;;x;;;;;;;;
EVTOPTA_RIRSEI_414141;Long live Aquitaine!;Vive le nouveau royaume d'Aquitaine !;;;;;;;;;;;;x;;;;;;;;
EVTTOOLTIPRIRSEI.414141;The Kingdom of Aquitaine is restored;Le royaume d'Aquitaine est restauré;;;;;;;;;;;;x;;;;;;;;
EVTNAME_RIRSEI_424242;"Sacre of the new King";Sacre du nouveau roi de France;;;;;;;;;;;;x;;;;;;;;
EVTDESC_RIRSEI_424242;The six ecclesiastical and the six lay peers of the realm have gathered together at the Cathedral of Reims for the sacre of the new King. The Bishop of Laon brings forth the Holy Ampulla to anoint you and the Archbishop of Reims places the crown upon your head. Henceforth you are no longer a man like other men, but rather a sacred and anointed King !;Les six pairs écclésiastiques et les six pairs laïcs du royaume sont tous réunis dans la Cathédrale de Reims. L'êveque de Laon apporte la sainte ampoule, donnée par une colombe venue du ciel au temps de Clovis, et l'archevêque de Reims vous sacre. Désormais, vous n'êtes plus un laïc à part entière, vous n'êtes plus un homme comme les autres, mais un roi sacré !;;;;;;;;;;x;;;;;;;;;;
roi_oint;Anointed King;Roi sacré;;;;;;;;;;;;x;;;;;;;;
